ID,F_p,638 Red(Peak)
10104,0,0
10105,7,7
10106,3,3
10107,37,37
10108,34,34
10109,40,40
10110,25,25
10111,0,0
10112,0,0
10113,35,35
10114,71,71
10115,17,17
10116,14,14
10117,37,37
10118,30,30
10119,36,36
10120,27,27
10121,12,12
10122,13,13
10123,0,0
10124,17,17
10125,15,15
10126,29,29
10127,34,34
10128,5,5
10129,6,6
10130,26,26
10131,15,15
10132,50,50
10133,0,0
10134,10,10
10135,69,69
10136,50,50
10137,12,12
10138,83,83
10139,52,52
10140,13,13
10141,12,12
10142,21,21
10143,36,36
10144,37,37
10145,42,42
10146,38,38
10147,31,31
10148,18,18
10149,45,45
10150,30,30
10151,38,38
10152,21,21
10153,18,18
10154,29,29
10155,15,15
10156,14,14
10157,10,10
10158,0,0
10159,24,24
10160,18,18
10161,12,12
10162,2,2
10163,74,74
10164,45,45
10165,8,8
10166,32,32
10167,34,34
10168,119,119
10169,71,71
10170,14,14
10171,39,39
10172,4,4
10173,16,16
10174,33,33
10175,42,42
10176,32,32
10177,10,10
10178,57,57
10179,10,10
10180,75,75
10181,25,25
10182,93,93
10183,11,11
10184,65,65
10185,13,13
10186,35,35
10187,23,23
10188,21,21
10189,37,37
10190,24,24
10191,53,53
10192,4,4
10193,15,15
10194,9,9
10195,21,21
10196,4,4
10197,43,43
10198,17,17
10199,22,22
10200,16,16
10201,27,27
10202,59,59
10203,25,25
10204,18,18
10205,29,29
10206,6,6
10207,5,5
10208,34,34
10209,12,12
10210,0,0
10211,37,37
10212,10,10
10213,23,23
10214,0,0
10215,13,13
10216,22,22
10217,17,17
10218,15,15
10219,178,178
10220,52,52
10221,20,20
10222,0,0
10223,29,29
10224,3,3
10225,58,58
10226,31,31
10227,20,20
10228,27,27
10229,16,16
10230,38,38
10231,77,77
10232,0,0
10233,44,44
10234,30,30
10235,106,106
10236,9,9
10237,66,66
10238,0,0
10239,24,24
10240,32,32
10241,39,39
10242,19,19
10243,14,14
10244,31,31
10245,0,0
10246,41,41
10247,17,17
10248,20,20
10249,0,0
10250,15,15
10251,41,41
10252,44,44
10253,14,14
10254,38,38
10255,61,61
10256,53,53
10257,34,34
10258,33,33
10259,24,24
10260,26,26
10261,27,27
10262,29,29
10263,10,10
10264,54,54
10265,60,60
10266,10,10
10267,78,78
10268,39,39
10269,27,27
10270,53,53
10271,11,11
10272,38,38
10273,20,20
10274,36,36
10275,10,10
10276,0,0
10277,12,12
10278,26,26
10279,9,9
10280,19,19
10281,30,30
10282,58,58
10283,6,6
10284,7,7
10285,24,24
10286,19,19
10287,6,6
10288,16,16
10289,50,50
10290,15,15
10291,26,26
10292,61,61
10293,5,5
10294,45,45
10295,0,0
10296,77,77
10297,8,8
10298,5,5
10299,21,21
10300,0,0
10301,64,64
10302,30,30
10303,4,4
10304,2,2
10305,10,10
10306,9,9
10307,0,0
10308,15,15
10309,13,13
10310,86,86
10311,71,71
10312,25,25
10313,11,11
10314,22,22
10315,26,26
10316,23,23
10317,58,58
10318,29,29
10319,9,9
10320,9,9
10321,18,18
10322,9,9
10323,5,5
10324,0,0
10325,25,25
10326,50,50
10327,22,22
10328,69,69
10329,17,17
10330,55,55
10331,29,29
10332,5,5
10333,56,56
10334,24,24
10335,17,17
10336,24,24
10337,19,19
10338,8,8
10339,55,55
10340,80,80
10341,25,25
10342,54,54
10343,30,30
10344,62,62
10345,12,12
10346,56,56
10347,5,5
10348,0,0
10349,29,29
10350,17,17
10351,17,17
10352,47,47
10353,32,32
10354,39,39
10355,51,51
10356,64,64
10357,44,44
10358,20,20
10359,7,7
10360,0,0
10361,144,144
10362,4,4
10363,46,46
10364,30,30
10365,14,14
10366,16,16
10367,193,193
10368,0,0
10369,0,0
10370,24,24
10371,27,27
10372,41,41
10373,9,9
10374,48,48
10375,4,4
10376,0,0
10377,16,16
10378,12,12
10379,8,8
10380,0,0
10381,13,13
10382,57,57
10383,30,30
10384,8,8
10385,9,9
10386,57,57
10387,75,75
10388,53,53
10389,24,24
10390,17,17
10391,51,51
10392,40,40
10393,37,37
10394,12,12
10395,29,29
10396,44,44
10397,37,37
10398,5,5
10399,7,7
10400,53,53
10401,30,30
10402,0,0
10403,0,0
10404,0,0
10405,23,23
10406,101,101
10407,50,50
10408,14,14
10409,21,21
10410,22,22
10411,47,47
10412,4,4
10413,28,28
10414,35,35
10415,67,67
10416,12,12
10417,33,33
10418,9,9
10419,58,58
10420,5,5
10421,16,16
10422,3,3
10423,60,60
10424,84,84
10425,3,3
10426,39,39
10427,2,2
10428,8,8
10429,53,53
10430,12,12
10431,40,40
10432,52,52
10433,57,57
10434,34,34
10435,59,59
10436,15,15
10437,93,93
10438,0,0
10439,38,38
10440,33,33
10441,27,27
10442,13,13
10443,11,11
10444,37,37
10445,14,14
10446,38,38
10447,4,4
10448,6,6
10449,16,16
10450,25,25
10451,22,22
10452,74,74
10453,5,5
10454,8,8
10455,26,26
10456,50,50
10457,59,59
10458,23,23
10459,55,55
10460,11,11
10461,18,18
10462,46,46
10463,111,111
10464,24,24
10465,33,33
10466,76,76
10467,89,89
10468,15,15
10469,33,33
10470,14,14
10471,35,35
10472,14,14
10473,42,42
10474,0,0
10475,23,23
10476,48,48
10477,26,26
10478,53,53
10479,22,22
10480,33,33
10481,23,23
10482,21,21
10483,51,51
10484,47,47
10485,14,14
10486,4,4
10487,11,11
10488,43,43
10489,25,25
10490,39,39
10491,47,47
10492,3,3
10493,102,102
10494,41,41
10495,6,6
10496,65,65
10497,20,20
10498,50,50
10499,20,20
10500,20,20
10501,36,36
10502,39,39
10503,33,33
10504,115,115
10505,55,55
10506,1,1
10507,71,71
10508,33,33
10509,0,0
10510,7,7
10511,2,2
10512,11,11
10513,50,50
10514,17,17
10515,0,0
10516,9,9
10517,7,7
10518,14,14
10519,75,75
10520,22,22
10521,53,53
10522,9,9
10523,33,33
10524,201,201
10525,83,83
10526,9,9
10527,10,10
10528,52,52
10529,0,0
10530,36,36
10531,21,21
10532,46,46
10533,3,3
10534,29,29
10535,18,18
10536,48,48
10537,48,48
10538,22,22
10539,36,36
10540,0,0
10541,27,27
10542,27,27
10543,12,12
10544,43,43
10545,14,14
10546,7,7
10547,12,12
10548,29,29
10549,15,15
10550,36,36
10551,3,3
10552,11,11
10553,32,32
10554,35,35
10555,44,44
10556,97,97
10557,31,31
10558,22,22
10559,37,37
10560,8,8
10561,130,130
10562,44,44
10563,39,39
10564,97,97
10565,10,10
10566,26,26
10567,45,45
10568,23,23
10569,11,11
10570,0,0
10571,20,20
10572,59,59
10573,28,28
10574,28,28
10575,39,39
10576,2,2
10577,17,17
10578,24,24
10579,15,15
10580,20,20
10581,41,41
10582,45,45
10583,28,28
10584,15,15
10585,14,14
10586,66,66
10587,68,68
10588,36,36
10589,54,54
10590,57,57
10591,24,24
10592,39,39
10593,43,43
10594,108,108
10595,43,43
10596,0,0
10597,16,16
10598,24,24
10599,11,11
10600,59,59
10601,12,12
10602,13,13
10603,17,17
10604,0,0
10605,44,44
10606,124,124
10607,37,37
10608,64,64
10609,20,20
10610,11,11
10611,71,71
10612,14,14
10613,34,34
10614,18,18
10615,75,75
10616,52,52
10617,13,13
10618,16,16
10619,30,30
10620,0,0
10621,0,0
10622,8,8
10623,3,3
10624,21,21
10625,12,12
10626,39,39
10627,44,44
10628,68,68
10629,30,30
10630,12,12
10631,38,38
10632,39,39
10633,134,134
10634,18,18
10635,11,11
10636,32,32
10637,19,19
10638,126,126
10639,0,0
10640,0,0
10641,38,38
10642,28,28
10643,0,0
10644,23,23
10645,13,13
10646,47,47
10647,38,38
10648,51,51
10649,13,13
10650,85,85
10651,64,64
10652,52,52
10653,20,20
10654,23,23
10655,85,85
10656,59,59
10657,13,13
10658,17,17
10659,46,46
10660,10,10
10661,38,38
10662,9,9
10663,47,47
10664,71,71
10665,19,19
10666,26,26
10667,16,16
10668,70,70
10669,59,59
10670,23,23
10671,73,73
10672,27,27
10673,73,73
10674,22,22
10675,3,3
10676,112,112
10677,13,13
10678,2,2
10679,45,45
10680,19,19
10681,26,26
10682,23,23
10683,9,9
10684,60,60
10685,43,43
10686,46,46
10687,40,40
10688,32,32
10689,48,48
10690,16,16
10691,42,42
10692,0,0
10693,21,21
10694,120,120
10695,101,101
10696,57,57
10697,5,5
10698,29,29
10699,24,24
10700,1,1
10701,2,2
10702,34,34
10703,68,68
10704,59,59
10705,15,15
10706,70,70
10707,45,45
10708,3,3
10709,25,25
10710,31,31
10711,14,14
10712,3,3
10713,27,27
10714,29,29
10715,12,12
10716,8,8
10717,35,35
10718,22,22
10719,18,18
10720,62,62
10721,109,109
10722,22,22
10723,48,48
10724,21,21
10725,6,6
10726,75,75
10727,11,11
10728,55,55
10729,34,34
10730,95,95
10731,7,7
10732,11,11
10733,29,29
10734,19,19
10735,31,31
10736,33,33
10737,26,26
10738,34,34
10739,31,31
10740,10,10
10741,0,0
10742,0,0
10743,37,37
10744,25,25
10745,159,159
10746,2,2
10747,30,30
10748,7,7
10749,5,5
10750,2,2
10751,25,25
10752,37,37
10753,97,97
10754,45,45
10755,24,24
10756,44,44
10757,13,13
10758,39,39
10759,24,24
10760,7,7
10761,24,24
10762,10,10
10763,33,33
10764,45,45
10765,42,42
10766,17,17
10767,7,7
10768,18,18
10769,22,22
10770,15,15
10771,3,3
10772,27,27
10773,148,148
10774,2,2
10775,35,35
10776,1,1
10777,27,27
10778,52,52
10779,50,50
10780,98,98
10781,21,21
10782,12,12
10783,0,0
10784,0,0
10785,0,0
10786,37,37
10787,98,98
10788,28,28
10789,48,48
10790,5,5
10791,10,10
10792,28,28
10793,53,53
10794,28,28
10795,21,21
10796,53,53
10797,20,20
10798,0,0
10799,18,18
10800,20,20
10801,0,0
10802,11,11
10803,50,50
10804,16,16
10805,18,18
10806,39,39
10807,20,20
10808,51,51
10809,27,27
10810,34,34
10811,12,12
10812,45,45
10813,14,14
10814,28,28
10815,11,11
10816,52,52
10817,80,80
10818,0,0
10819,34,34
10820,0,0
10821,25,25
10822,7,7
10823,84,84
10824,58,58
10825,2,2
10826,33,33
10827,54,54
10828,29,29
10829,59,59
10830,19,19
10831,61,61
10832,2,2
10833,17,17
10834,17,17
10835,36,36
10836,91,91
10837,100,100
10838,73,73
10839,1,1
10840,78,78
10841,19,19
10842,11,11
10843,28,28
10844,57,57
10845,36,36
10846,16,16
10847,45,45
10848,7,7
10849,19,19
10850,28,28
10851,38,38
10852,15,15
10853,18,18
10854,60,60
10855,98,98
10856,41,41
10857,33,33
10858,14,14
10859,4,4
10860,36,36
10861,32,32
10862,70,70
10863,65,65
10864,26,26
10865,82,82
10866,22,22
10867,102,102
10868,17,17
10869,26,26
10870,14,14
10871,41,41
10872,23,23
10873,82,82
10874,0,0
10875,0,0
10876,30,30
10877,24,24
10878,24,24
10879,35,35
10880,18,18
10881,13,13
10882,8,8
10883,28,28
10884,0,0
10885,26,26
10886,41,41
10887,5,5
10888,12,12
10889,0,0
10890,13,13
10891,30,30
10892,42,42
10893,13,13
10894,37,37
10895,9,9
10896,0,0
10897,5,5
10898,27,27
10899,66,66
10900,49,49
10901,3,3
10902,0,0
10903,46,46
10904,3,3
10905,15,15
10906,0,0
10907,27,27
10908,61,61
10909,15,15
10910,111,111
10911,30,30
10912,54,54
10913,41,41
10914,67,67
10915,51,51
10916,24,24
10917,21,21
10918,13,13
10919,19,19
10920,11,11
10921,2,2
10922,50,50
10923,0,0
10924,1,1
10925,14,14
10926,0,0
10927,0,0
10928,31,31
10929,10,10
10930,29,29
10931,84,84
10932,10,10
10933,35,35
10934,26,26
10935,45,45
10936,16,16
10937,14,14
10938,37,37
10939,121,121
10940,82,82
10941,0,0
10942,49,49
10943,51,51
10944,25,25
10945,0,0
10946,12,12
10947,8,8
10948,51,51
10949,19,19
10950,4,4
10951,9,9
10952,2,2
10953,36,36
10954,21,21
10955,59,59
10956,34,34
10957,52,52
10958,23,23
10959,44,44
10960,25,25
10961,0,0
10962,0,0
10963,89,89
10964,55,55
10965,23,23
10966,39,39
10967,32,32
10968,19,19
10969,22,22
10970,53,53
10971,17,17
10972,0,0
10973,29,29
10974,9,9
10975,22,22
10976,26,26
10977,32,32
10978,70,70
10979,1,1
10980,14,14
10981,73,73
10982,22,22
10983,17,17
10984,12,12
10985,0,0
10986,118,118
10987,44,44
10988,42,42
10989,15,15
10990,16,16
10991,14,14
10992,53,53
10993,22,22
10994,13,13
10995,25,25
10996,71,71
10997,102,102
10998,22,22
10999,0,0
11000,20,20
11001,32,32
11002,6,6
11003,18,18
11004,51,51
11005,42,42
11006,0,0
11007,1,1
11008,0,0
11009,7,7
11010,65,65
11011,8,8
11012,10,10
11013,150,150
11014,3,3
11015,40,40
11016,35,35
11017,0,0
11018,11,11
11019,36,36
11020,7,7
11021,52,52
11022,8,8
11023,43,43
11024,45,45
11025,6,6
11026,49,49
11027,26,26
11028,11,11
11029,89,89
11030,60,60
11031,20,20
11032,20,20
11033,23,23
11034,31,31
11035,40,40
11036,17,17
11037,0,0
11038,11,11
11039,0,0
11040,7,7
11041,83,83
11042,30,30
11043,14,14
11044,15,15
11045,27,27
11046,9,9
11047,75,75
11048,43,43
11049,2,2
11050,1,1
11051,27,27
11052,19,19
11053,41,41
11054,4,4
11055,52,52
11056,40,40
11057,44,44
11058,39,39
11059,18,18
11060,0,0
11061,91,91
11062,3,3
11063,41,41
11064,79,79
11065,30,30
11066,1,1
11067,5,5
11068,53,53
11069,63,63
11070,88,88
11071,30,30
11072,49,49
11073,25,25
11074,16,16
11075,39,39
11076,25,25
11077,23,23
11078,81,81
11079,21,21
11080,48,48
11081,51,51
11082,0,0
11083,37,37
11084,57,57
11085,35,35
11086,8,8
11087,0,0
11088,67,67
11089,52,52
11090,58,58
11091,22,22
11092,21,21
11093,12,12
11094,45,45
11095,24,24
11096,16,16
11097,21,21
11098,9,9
11099,35,35
11100,24,24
11101,32,32
11102,65,65
11103,42,42
11104,0,0
11105,34,34
11106,4,4
11107,0,0
11108,56,56
11109,38,38
11110,33,33
11111,79,79
11112,62,62
11113,38,38
11114,15,15
11115,25,25
11116,38,38
11117,57,57
11118,102,102
11119,33,33
11120,11,11
11121,31,31
11122,25,25
11123,3,3
11124,4,4
11125,7,7
11126,48,48
11127,17,17
11128,62,62
11129,25,25
11130,23,23
11131,38,38
11132,7,7
11133,21,21
11134,20,20
11135,22,22
11136,26,26
11137,36,36
11138,27,27
11139,28,28
11140,16,16
11141,6,6
11142,16,16
11143,65,65
11144,36,36
11145,19,19
11146,7,7
11147,66,66
11148,0,0
11149,0,0
11150,39,39
11151,23,23
11152,33,33
11153,4,4
11154,21,21
11155,17,17
11156,24,24
11157,124,124
11158,1,1
11159,56,56
11160,33,33
11161,11,11
11162,17,17
11163,29,29
11164,48,48
11165,57,57
11166,4,4
11167,36,36
11168,46,46
11169,30,30
11170,19,19
11171,37,37
11172,45,45
11173,64,64
11174,47,47
11175,28,28
11176,54,54
11177,29,29
11178,56,56
11179,44,44
11180,45,45
11181,55,55
11182,33,33
11183,46,46
11184,36,36
11185,21,21
11186,17,17
11187,156,156
11188,46,46
11189,67,67
11190,16,16
11191,18,18
11192,20,20
11193,26,26
11194,57,57
11195,42,42
11196,23,23
11197,16,16
11198,18,18
11199,42,42
11200,66,66
11201,9,9
11202,3,3
11203,0,0
11204,10,10
11205,3,3
11206,24,24
11207,31,31
11208,26,26
11209,23,23
11210,34,34
11211,33,33
11212,62,62
11213,64,64
11214,110,110
11215,28,28
11216,81,81
11217,9,9
11218,42,42
11219,22,22
11220,31,31
11221,40,40
11222,11,11
11223,61,61
11224,12,12
11225,58,58
11226,38,38
11227,27,27
11228,45,45
11229,5,5
11230,39,39
11231,27,27
11232,25,25
11233,26,26
11234,20,20
11235,0,0
11236,7,7
11237,15,15
11238,22,22
11239,13,13
11240,17,17
11241,60,60
11242,28,28
11243,40,40
11244,18,18
11245,10,10
11246,41,41
11247,81,81
11248,16,16
11249,11,11
11250,34,34
11251,100,100
11252,33,33
11253,48,48
11254,9,9
11255,17,17
11256,16,16
11257,0,0
11258,28,28
11259,27,27
11260,1,1
11261,50,50
11262,33,33
11263,53,53
11264,59,59
11265,40,40
11266,47,47
11267,31,31
11268,36,36
11269,9,9
11270,44,44
11271,49,49
11272,12,12
11273,5,5
11274,0,0
11275,43,43
11276,22,22
11277,27,27
11278,41,41
11279,80,80
11280,0,0
11281,21,21
11282,39,39
11283,19,19
11284,87,87
11285,4,4
11286,13,13
11287,3,3
11288,42,42
11289,55,55
11290,17,17
11291,150,150
11292,7,7
11293,16,16
11294,11,11
11295,38,38
11296,0,0
11297,41,41
11298,46,46
11299,15,15
11300,0,0
11301,72,72
11302,77,77
11303,0,0
11304,6,6
11305,36,36
11306,3,3
11307,28,28
11308,21,21
11309,0,0
11310,53,53
11311,27,27
11312,17,17
11313,14,14
11314,0,0
11315,28,28
11316,73,73
11317,0,0
11318,10,10
11319,6,6
11320,87,87
11321,9,9
11322,28,28
11323,45,45
11324,0,0
11325,25,25
11326,16,16
11327,14,14
11328,21,21
11329,46,46
11330,31,31
11331,62,62
11332,10,10
11333,59,59
11334,29,29
11335,52,52
11336,24,24
11337,1,1
11338,118,118
11339,7,7
11340,69,69
11341,26,26
11342,0,0
11343,7,7
11344,4,4
11345,48,48
11346,30,30
11347,44,44
11348,10,10
11349,19,19
11350,0,0
11351,17,17
11352,56,56
11353,46,46
11354,26,26
11355,40,40
11356,13,13
11357,32,32
11358,10,10
11359,4,4
11360,5,5
11361,15,15
11362,53,53
11363,30,30
11364,24,24
11365,149,149
11366,79,79
11367,0,0
11368,1,1
11369,23,23
11370,38,38
11371,24,24
11372,6,6
11373,43,43
11374,48,48
11375,48,48
11376,16,16
11377,34,34
11378,11,11
11379,19,19
11380,26,26
11381,35,35
11382,33,33
11383,83,83
11384,94,94
11385,14,14
11386,22,22
11387,80,80
11388,17,17
11389,18,18
11390,17,17
11391,2,2
11392,36,36
11393,35,35
11394,36,36
11395,27,27
11396,23,23
11397,0,0
11398,78,78
11399,32,32
11400,34,34
11401,0,0
11402,39,39
11403,17,17
11404,0,0
11405,23,23
11406,11,11
11407,20,20
11408,35,35
11409,9,9
11410,30,30
11411,30,30
11412,33,33
11413,44,44
11414,33,33
11415,106,106
11416,54,54
11417,30,30
11418,159,159
11419,22,22
11420,12,12
11421,38,38
11422,55,55
11423,29,29
11424,32,32
11425,14,14
11426,31,31
11427,9,9
11428,39,39
11429,55,55
11430,201,201
11431,63,63
11432,8,8
11433,65,65
11434,0,0
11435,11,11
11436,31,31
11437,0,0
11438,16,16
11439,13,13
11440,15,15
11441,27,27
11442,13,13
11443,57,57
11444,37,37
11445,4,4
11446,23,23
11447,47,47
11448,0,0
11449,15,15
11450,155,155
11451,71,71
11452,85,85
11453,18,18
11454,56,56
11455,56,56
11456,19,19
11457,68,68
11458,0,0
11459,80,80
11460,66,66
11461,0,0
11462,16,16
11463,63,63
11464,15,15
11465,14,14
11466,37,37
11467,2,2
11468,19,19
11469,49,49
11470,29,29
11471,22,22
11472,9,9
11473,18,18
11474,56,56
11475,43,43
11476,18,18
11477,54,54
11478,43,43
11479,32,32
11480,29,29
11481,2,2
11482,0,0
11483,9,9
11484,1,1
11485,6,6
11486,55,55
11487,42,42
11488,0,0
11489,54,54
11490,40,40
11491,15,15
11492,35,35
11493,8,8
11494,50,50
11495,5,5
11496,80,80
11497,10,10
11498,21,21
11499,54,54
11500,8,8
11501,18,18
11502,37,37
11503,5,5
11504,16,16
11505,24,24
11506,4,4
11507,15,15
11508,47,47
11509,3,3
11510,0,0
11511,14,14
11512,14,14
11513,12,12
11514,57,57
11515,49,49
11516,21,21
11517,1,1
11518,20,20
11519,14,14
11520,29,29
11521,70,70
11522,53,53
11523,40,40
11524,35,35
11525,31,31
11526,12,12
11527,29,29
11528,18,18
11529,143,143
11530,56,56
11531,112,112
11532,15,15
11533,0,0
11534,0,0
11535,14,14
11536,17,17
11537,24,24
11538,79,79
11539,9,9
11540,17,17
11541,17,17
11542,35,35
11543,34,34
11544,0,0
11545,34,34
11546,33,33
11547,32,32
11548,28,28
11549,65,65
11550,0,0
11551,33,33
11552,22,22
11553,30,30
11554,38,38
11555,81,81
11556,0,0
11557,51,51
11558,41,41
11559,24,24
11560,21,21
11561,50,50
11562,0,0
11563,66,66
11564,11,11
11565,55,55
11566,47,47
11567,42,42
11568,20,20
11569,13,13
11570,39,39
11571,2,2
11572,3,3
11573,24,24
11574,26,26
11575,17,17
11576,269,269
11577,35,35
11578,3,3
11579,23,23
11580,17,17
11581,10,10
11582,40,40
11583,18,18
11584,7,7
11585,23,23
11586,47,47
11587,24,24
11588,57,57
11589,0,0
11590,18,18
11591,19,19
11592,24,24
11593,38,38
11594,9,9
11595,84,84
11596,23,23
11597,20,20
11598,97,97
11599,43,43
11600,38,38
11601,28,28
11602,38,38
11603,32,32
11604,11,11
11605,68,68
11606,21,21
11607,27,27
11608,31,31
11609,15,15
11610,60,60
11611,20,20
11612,15,15
11613,36,36
11614,40,40
11615,27,27
11616,1,1
11617,33,33
11618,13,13
11619,75,75
11620,42,42
11621,41,41
11622,38,38
11623,18,18
11624,26,26
11625,54,54
11626,58,58
11627,16,16
11628,32,32
11629,25,25
11630,81,81
11631,0,0
11632,10,10
11633,107,107
11634,27,27
11635,33,33
11636,79,79
11637,15,15
11638,47,47
11639,43,43
11640,0,0
11641,2,2
11642,0,0
11643,39,39
11644,27,27
11645,46,46
11646,23,23
11647,14,14
11648,66,66
11649,23,23
11650,32,32
11651,47,47
11652,21,21
11653,5,5
11654,35,35
11655,44,44
11656,47,47
11657,20,20
11658,91,91
11659,80,80
11660,33,33
11661,16,16
11662,39,39
11663,50,50
11664,154,154
11665,15,15
11666,40,40
11667,40,40
11668,31,31
11669,22,22
11670,2,2
11671,14,14
11672,28,28
11673,30,30
11674,11,11
11675,21,21
11676,11,11
11677,27,27
11678,76,76
11679,42,42
11680,19,19
11681,12,12
11682,17,17
11683,0,0
11684,56,56
11685,0,0
11686,44,44
11687,8,8
11688,10,10
11689,20,20
11690,41,41
11691,18,18
11692,49,49
11693,147,147
11694,41,41
11695,53,53
11696,73,73
11697,22,22
11698,8,8
11699,15,15
11700,36,36
11701,0,0
11702,55,55
11703,15,15
11704,17,17
11705,5,5
11706,29,29
11707,33,33
11708,0,0
11709,22,22
11710,80,80
11711,83,83
11712,9,9
11713,9,9
11714,27,27
11715,43,43
11716,50,50
11717,38,38
11718,0,0
11719,21,21
11720,16,16
11721,34,34
11722,47,47
11723,35,35
11724,11,11
11725,39,39
11726,1,1
11727,1,1
11728,8,8
11729,23,23
11730,42,42
11731,60,60
11732,23,23
11733,16,16
11734,0,0
11735,0,0
11736,54,54
11737,63,63
11738,63,63
11739,25,25
11740,18,18
11741,22,22
11742,0,0
11743,3,3
11744,9,9
11745,42,42
11746,3,3
11747,1,1
11748,34,34
11749,39,39
11750,71,71
11751,3,3
11752,25,25
11753,11,11
11754,31,31
11755,0,0
11756,22,22
11757,14,14
11758,16,16
11759,27,27
11760,26,26
11761,94,94
11762,22,22
11763,103,103
11764,23,23
11765,43,43
11766,60,60
11767,7,7
11768,138,138
11769,17,17
11770,17,17
11771,63,63
11772,27,27
11773,6,6
11774,83,83
11775,41,41
11776,18,18
11777,75,75
11778,35,35
11779,9,9
11780,11,11
11781,55,55
11782,87,87
11783,13,13
11784,34,34
11785,0,0
11786,69,69
11787,29,29
11788,0,0
11789,14,14
11790,20,20
11791,17,17
11792,10,10
11793,1,1
11794,54,54
11795,116,116
11796,35,35
11797,0,0
11798,21,21
11799,106,106
11800,33,33
11801,73,73
11802,23,23
11803,51,51
11804,65,65
11805,75,75
11806,21,21
11807,4,4
11808,26,26
11809,8,8
11810,89,89
11811,16,16
11812,75,75
11813,0,0
11814,6,6
11815,0,0
11816,9,9
11817,66,66
11818,26,26
11819,58,58
11820,48,48
11821,36,36
11822,8,8
11823,0,0
11824,60,60
11825,80,80
11826,30,30
11827,12,12
11828,84,84
11829,9,9
11830,44,44
11831,30,30
11832,22,22
11833,5,5
11834,12,12
11835,45,45
11836,17,17
11837,69,69
11838,18,18
11839,36,36
11840,25,25
11841,2,2
11842,0,0
11843,0,0
11844,56,56
11845,30,30
11846,66,66
11847,27,27
11848,56,56
11849,35,35
11850,45,45
11851,47,47
11852,28,28
11853,44,44
11854,58,58
11855,0,0
11856,29,29
11857,7,7
11858,42,42
11859,37,37
11860,125,125
11861,0,0
11862,6,6
11863,50,50
11864,28,28
11865,22,22
11866,44,44
11867,9,9
11868,26,26
11869,50,50
11870,43,43
11871,9,9
11872,64,64
11873,12,12
11874,28,28
11875,6,6
11876,32,32
11877,21,21
11878,70,70
11879,0,0
11880,20,20
11881,42,42
11882,47,47
11883,116,116
11884,27,27
11885,28,28
11886,0,0
11887,0,0
11888,8,8
11889,37,37
11890,3,3
11891,16,16
11892,28,28
11893,51,51
11894,67,67
11895,73,73
11896,29,29
11897,7,7
11898,7,7
11899,95,95
11900,0,0
11901,15,15
11902,13,13
11903,20,20
11904,21,21
11905,0,0
11906,79,79
11907,14,14
11908,1,1
11909,35,35
11910,50,50
11911,37,37
11912,0,0
11913,10,10
11914,107,107
11915,2,2
11916,16,16
11917,26,26
11918,18,18
11919,7,7
11920,16,16
11921,108,108
11922,70,70
11923,13,13
11924,2,2
11925,76,76
11926,38,38
11927,70,70
11928,11,11
11929,116,116
11930,23,23
11931,65,65
11932,58,58
11933,10,10
11934,35,35
11935,70,70
11936,7,7
11937,32,32
11938,13,13
11939,11,11
11940,33,33
11941,75,75
11942,20,20
11943,66,66
11944,66,66
11945,40,40
11946,24,24
11947,62,62
11948,39,39
11949,22,22
11950,11,11
11951,31,31
11952,13,13
11953,11,11
11954,18,18
11955,39,39
11956,14,14
11957,38,38
11958,22,22
11959,71,71
11960,82,82
11961,66,66
11962,55,55
11963,29,29
11964,14,14
11965,0,0
11966,22,22
11967,28,28
11968,4,4
11969,21,21
11970,0,0
11971,42,42
11972,18,18
11973,16,16
11974,32,32
11975,16,16
11976,75,75
11977,24,24
11978,94,94
11979,53,53
11980,54,54
11981,15,15
11982,10,10
11983,30,30
11984,31,31
11985,19,19
11986,33,33
11987,55,55
11988,30,30
11989,14,14
11990,7,7
11991,39,39
11992,32,32
11993,14,14
11994,35,35
11995,68,68
11996,36,36
11997,63,63
11998,8,8
11999,0,0
12000,32,32
12001,27,27
12002,63,63
12003,22,22
12004,5,5
12005,25,25
12006,107,107
12007,47,47
12008,48,48
12009,22,22
12010,66,66
12011,12,12
12012,6,6
12013,46,46
12014,32,32
12015,64,64
12016,12,12
12017,13,13
12018,66,66
12019,37,37
12020,17,17
12021,14,14
12022,28,28
12023,25,25
12024,38,38
12025,46,46
12026,28,28
12027,52,52
12028,8,8
12029,196,196
12030,57,57
12031,12,12
12032,27,27
12033,68,68
12034,61,61
12035,25,25
12036,95,95
12037,65,65
12038,38,38
12039,12,12
12040,40,40
12041,29,29
12042,20,20
12043,1,1
12044,24,24
12045,4,4
12046,25,25
12047,10,10
12048,14,14
12049,98,98
12050,36,36
12051,52,52
12052,20,20
12053,10,10
12054,31,31
12055,27,27
12056,102,102
12057,17,17
12058,46,46
12059,9,9
12060,53,53
12061,53,53
12062,16,16
12063,17,17
12064,8,8
12065,56,56
12066,47,47
12067,47,47
12068,31,31
12069,24,24
12070,53,53
12071,26,26
12072,43,43
12073,47,47
12074,20,20
12075,75,75
12076,33,33
12077,61,61
12078,90,90
12079,20,20
12080,28,28
12081,74,74
12082,53,53
12083,48,48
12084,43,43
12085,3,3
12086,39,39
12087,45,45
12088,20,20
12089,29,29
12090,34,34
12091,31,31
12092,44,44
12093,13,13
12094,66,66
12095,27,27
12096,43,43
12097,88,88
12098,27,27
12099,53,53
12100,21,21
